clade_name	/work/reads/S01.clean_1.fastq.gz	/work/reads/S02.clean_1.fastq.gz	/work/reads/S03.clean_1.fastq.gz	/work/reads/S04.clean_1.fastq.gz	/work/reads/S05.clean_1.fastq.gz	/work/reads/S06.clean_1.fastq.gz	/work/reads/S07.clean_1.fastq.gz	/work/reads/S08.clean_1.fastq.gz	/work/reads/S09.clean_1.fastq.gz	/work/reads/S10.clean_1.fastq.gz	/work/reads/S11.clean_1.fastq.gz	/work/reads/S12.clean_1.fastq.gz	/work/reads/S13.clean_1.fastq.gz	/work/reads/S14.clean_1.fastq.gz	/work/reads/S15.clean_1.fastq.gz	/work/reads/S16.clean_1.fastq.gz	/work/reads/S17.clean_1.fastq.gz	/work/reads/S18.clean_1.fastq.gz	/work/reads/S19.clean_1.fastq.gz	/work/reads/S20.clean_1.fastq.gz	/work/reads/S21.clean_1.fastq.gz	/work/reads/S22.clean_1.fastq.gz	/work/reads/S23.clean_1.fastq.gz	/work/reads/S24.clean_1.fastq.gz
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.15149	0.1313	0.26942	0.44414	0.31178	0.59372	0.19581	0	0.43176	0.51916	0.11512	0	0.56805	0.14795	0.51129	0	0.71797	0	3.33336	2.72273	2.06851	5.90224	2.567	1.55302
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella	0	0.51303	0.74466	0.42443	0.10613	0.46951	1.73359	0.63117	0.67139	0.52725	0.6034	0.25809	0.4867	0.27225	0.77333	0.196	0.63233	0.85862	2.80015	0	1.26048	1.8471	2.52393	3.22955
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp177693	6.94471	32.85537	22.81847	35.22276	33.73208	36.93057	46.54615	40.31982	32.86176	22.90937	28.19263	50.74806	30.54942	23.18341	37.69335	38.73212	40.98092	26.43209	23.56871	21.03832	7.98809	66.27296	33.23585	25.64321
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp174716	0	0.29643	0.1789	0.30956	0.2834	0	0.06257	0.46426	0.26531	0.29229	0.49342	0.44872	0.20395	0.3327	0	0.09538	0.36102	0.39923	0.13761	0	0.15797	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp401579	42.7223	41.11619	20.3299	19.46106	33.23359	25.3975	9.3184	18.25351	21.82299	12.67174	19.63363	15.0028	4.02552	18.99671	20.3351	26.74522	18.0195	12.14054	2.31105	16.05557	12.16495	9.75456	13.76499	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp570244	20.28317	13.04493	35.75786	16.63668	12.13182	17.25659	29.31617	5.0508	17.33857	30.77478	18.91058	9.65828	22.54173	24.67922	20.71959	15.54303	5.02988	27.1737	22.14667	16.62576	52.14489	2.20267	10.20078	23.7731
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum sp848802	0.83215	0	1.03098	4.14767	0.89346	0.53961	0.58452	0.78175	1.9816	0.98336	1.74184	1.23945	1.52658	5.28431	1.36487	0.4933	0.70147	2.21233	1.54982	3.70531	2.4602	0	0.90605	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-485|s__CAG-485 sp262345	9.10138	1.50886	3.7509	2.99267	5.77381	6.77228	0.71923	17.92217	9.27635	8.22669	6.21728	5.6551	5.6286	3.64688	1.30479	1.73119	6.29321	9.19733	8.74614	0.85615	3.39667	1.76259	7.37064	2.1737
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp616081	0.38784	0.11383	0.33692	0	0.46733	0.39378	0.31796	1.18583	0.49562	0.44822	1.01087	0.49824	0.27135	0.37874	0	0.29375	0	0.13659	3.34602	2.01845	4.97121	0.65552	1.29114	4.02341
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp194380	1.00689	0.24404	0.28649	0.39988	1.0211	0	0.21596	0.43856	2.05471	0.87139	1.00653	0.26566	1.15235	0.49992	1.48074	1.78677	2.73614	0.7049	6.0239	3.82909	2.35011	2.43912	5.34609	11.78632
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sp823164	0	0.05386	0.04571	0.18774	0	0.05798	0	0	0	0.04075	0	0.05213	0	0.22586	0.07836	0.0453	0	0.10413	0	0	0	0.01008	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp836388	0.30672	0.08129	0.74167	0.43672	0.28936	0.0655	0.22641	0.11219	0.21391	0.14857	0.28348	0.12798	3.8262	0.52133	1.19319	0.20942	0.95441	1.19754	1.14697	0	0	0	1.21704	1.13837
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp665740	0.50668	0	0.38913	0.41553	0.38366	0.95095	0.53567	0	0.62404	0.61361	0	0.4349	0.13942	0.43635	0.21031	0.11391	0.70338	0	0.3535	0	0.14497	0.08381	0.21151	0.37555
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp223624	6.97417	3.76611	3.0005	1.6415	2.54825	1.01562	3.00567	1.29972	2.51445	2.88517	6.04696	6.51423	9.97275	10.73624	3.57479	1.67522	4.9123	5.3544	3.35064	22.8793	2.3759	0	3.25763	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp758367	1.26226	0.96122	1.41162	1.10194	3.16318	1.47078	1.24721	1.80521	0.48145	0.66482	0.61369	0.9592	6.12319	0.63587	1.1982	0.40332	2.02298	3.09316	1.45884	0.6816	0.33828	0.54989	0	0.88929
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus sp178717	0.12406	0	0.19021	0.66276	0	0.20446	0	0.20766	0.41538	0.14771	0	0.42809	0.04533	0.11616	0.03249	0	0.12887	0	0	0	0	0	0.04766	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus sp420836	3.54606	1.91154	2.39447	9.25486	0.71405	1.24563	1.66596	6.1826	2.35918	10.13721	7.33427	1.8026	3.03639	3.92644	4.16558	1.52985	4.50347	3.41547	3.06062	0	2.13966	0.78436	0.94416	1.45095
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter sp785212	0.28784	0.33055	0.80529	0.13938	0.33468	0	0.07538	0.14547	0.25774	0.42874	0.53767	1.22017	0.39894	0.85668	0.54767	0.71911	0	0.30158	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella sp302047	1.10571	0.18847	0.41747	0.06936	0.26306	0.2178	0.04832	0.11381	0	0.62748	0.38136	0.19659	0	0.0775	0.26082	0.25047	0	0.64976	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum sp602152	0.32918	0.1053	0.56331	0.14717	0.15231	0.9076	0.45944	0.38819	0.59975	0	0.58657	0.10247	0.14192	0.03699	0	0.05263	0	0.16941	0	0	0	0.04832	0.17914	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus sp528723	0.20564	0.36562	0.56316	0.20367	0.16749	0	0.38802	0.77255	0	0.32043	0.41367	0.26523	0.20656	0.30173	0.47864	1.00609	1.85802	0.5754	12.75539	4.85472	1.87669	0.9464	8.44149	18.32819
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136|s__Lachnospiraceae_NK4A136 sp683269	0.69614	0.02735	0.1432	0.54779	0.1309	0.67804	0.2187	0.18692	0	0.2368	0.30149	0.24114	0	0.27704	0.39475	0.13371	0.41272	0.40718	0	0.03044	0	0	0.01853	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia sp358968	0.15307	0.19684	0.16954	0.43013	0.43957	0.37478	0.0962	0.10283	0.16206	0.40157	0.224	0	0.13306	0.22252	0.61304	0.23372	0.20555	0.25318	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp619531	0.04785	0.11684	0	0.74632	0.03168	0.08356	0	0.50857	0.26183	0.14088	0.17961	0	0.32809	0.14406	0.05987	1.39632	0.18553	0.86855	0	0	0	0	0.1848	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp441804	0	0.36454	0	0.2428	0	0.15085	0.12789	0.44465	0	0.27929	0	0.15232	0.3089	0.2393	0.1013	0.09805	0.12985	0	0	0.04945	0	0	0.23264	0.14424
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor sp343932	0.10906	0.07722	0.3119	0	0.04071	0.06755	0	0.21235	0.19301	0.13748	0.29125	0.1799	0.1075	0	0.37796	0.32563	0.2661	0.05449	0	0	0	0.12259	0.17719	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix sp777733	0.18819	0.16681	0	1.16637	0.51177	0.07563	0.91718	0.43071	0	0.34648	0.62197	0.42779	0.20809	0.89964	0.2447	0.07381	0.38447	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella sp582639	0.01943	0	0	0	0	0.06463	0.00986	0.00584	0.06877	0.07463	0	0	0	0	0.04671	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter sp452112	0.20546	0.2444	0.39261	0.58506	0.12692	0.87189	0.19929	0	0.42509	0	1.32943	0.17826	2.38059	0.43178	0.54549	0.53073	2.03335	0.90982	1.02309	0.80623	0	0.50632	0.43409	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor sp875346	0	0	0	0	0.02333	0.03165	0	0.1007	0	0.05651	0	0	0	0.01002	0.05862	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus sp498592	0.11093	0.08116	0.08663	0.17323	0.19946	0	0.12934	0.1602	0.47301	0.35127	0.17424	0.50878	0.37405	0.3803	0.08023	0	0.13557	0.13164	0.09867	0.13212	0	0.03797	0	0.15245
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus sp111859	0.8677	0.16825	0.14082	0.4812	0.33563	0.43465	0	0.13523	0.31787	0.97049	0	0	1.69719	0.21037	0.14767	1.12786	2.10721	0.2219	0	0	0	0	0.4029	0.22637
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp467460	0.0869	0.03396	0.33039	0.37467	0.16314	0.07152	0	0.32933	0.18477	0.17827	0.19213	0.63675	0.50691	0	0.15704	0.09107	0.25221	0.30344	0	0	0	0	0.03773	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium sp138690	0	0	0	0	0	0	0	0	0.03365	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium sp353390	0	0.0891	0.55867	0.32109	0.25574	0.47439	0.4247	0.14864	0.37882	0.28631	0.4342	0.12412	0	0.08395	0	0.08797	0.12789	0.10171	0	0	0	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia sp121095	0.43194	0.06692	0.09789	0.10933	0.04702	0.18683	0.1487	0.17716	1.08476	0.2687	0.24653	0.09747	0	0.11133	0.06748	0.07344	0.37254	0.17332	0	0	0.34465	0	0	0
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus sp365524	0.18454	0.33337	0.95066	0.26776	1.41619	0.38989	0.35053	0.12224	0.31244	0.62452	0.98154	0.38511	0	0.29696	0.45413	0.35233	0.24948	0.79367	0	0.12808	0	0.10227	1.17567	0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia sp305908	0.69191	0.18371	0.66409	0	0	1.02549	0.55932	0.26951	0.68177	0.39445	0	0.56087	0.74924	0.59886	0.20193	0.42863	0.74581	0.17483	2.69193	2.68841	2.5853	5.97122	4.14076	5.11229
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia sp698443	0.15149	0.1313	0.26942	0.44414	0.31178	0.59372	0.19581	0	0.43176	0.51916	0.11512	0	0.56805	0.14795	0.51129	0	0.71797	0	3.33336	2.72273	2.06851	5.90224	2.567	1.55302
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Parasutterella|s__Parasutterella sp281789	0	0.51303	0.74466	0.42443	0.10613	0.46951	1.73359	0.63117	0.67139	0.52725	0.6034	0.25809	0.4867	0.27225	0.77333	0.196	0.63233	0.85862	2.80015	0	1.26048	1.8471	2.52393	3.22955
d__Bacteria|p__Desulfobacterota|c__Desulfovibrionia|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio sp366130	0	0.11592	0	0	0.21907	0.32925	0	0.35927	0.70936	0.58366	0.64289	0.54399	2.23691	0.80064	0.50651	3.08599	1.70411	1.0404	0	0.89828	1.19534	0	1.6906	0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum|s__Mucispirillum sp782277	0	0	0.03152	0.07986	0	0.08303	0.05018	0.02794	0	0.30763	0.13907	0.06091	0.09281	0	0	0	0.05676	0.05685	0	0	0	0	0	0
d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter sp302705	0.12865	0.14568	0.09506	0.17491	0.08834	0.11651	0.10565	0.20265	0.04683	0.12233	0.11867	0	0.03171	0	0.01948	0.33869	0.07499	0.39287	0.09694	0	0.03612	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp177693|t__GCF_638968339.1	6.94471	32.85537	22.81847	35.22276	33.73208	36.93057	46.54615	40.31982	32.86176	22.90937	28.19263	50.74806	30.54942	23.18341	37.69335	38.73212	40.98092	26.43209	23.56871	21.03832	7.98809	66.27296	33.23585	25.64321
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum|s__Muribaculum sp174716|t__GCF_778003227.1	0	0.29643	0.1789	0.30956	0.2834	0	0.06257	0.46426	0.26531	0.29229	0.49342	0.44872	0.20395	0.3327	0	0.09538	0.36102	0.39923	0.13761	0	0.15797	0	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp401579|t__GCF_352991009.1	42.7223	41.11619	20.3299	19.46106	33.23359	25.3975	9.3184	18.25351	21.82299	12.67174	19.63363	15.0028	4.02552	18.99671	20.3351	26.74522	18.0195	12.14054	2.31105	16.05557	12.16495	9.75456	13.76499	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella sp570244|t__GCF_109348154.1	20.28317	13.04493	35.75786	16.63668	12.13182	17.25659	29.31617	5.0508	17.33857	30.77478	18.91058	9.65828	22.54173	24.67922	20.71959	15.54303	5.02988	27.1737	22.14667	16.62576	52.14489	2.20267	10.20078	23.7731
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum|s__Paramuribaculum sp848802|t__GCF_791540768.1	0.83215	0	1.03098	4.14767	0.89346	0.53961	0.58452	0.78175	1.9816	0.98336	1.74184	1.23945	1.52658	5.28431	1.36487	0.4933	0.70147	2.21233	1.54982	3.70531	2.4602	0	0.90605	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__CAG-485|s__CAG-485 sp262345|t__GCF_835514200.1	9.10138	1.50886	3.7509	2.99267	5.77381	6.77228	0.71923	17.92217	9.27635	8.22669	6.21728	5.6551	5.6286	3.64688	1.30479	1.73119	6.29321	9.19733	8.74614	0.85615	3.39667	1.76259	7.37064	2.1737
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp616081|t__GCF_805432683.1	0.38784	0.11383	0.33692	0	0.46733	0.39378	0.31796	1.18583	0.49562	0.44822	1.01087	0.49824	0.27135	0.37874	0	0.29375	0	0.13659	3.34602	2.01845	4.97121	0.65552	1.29114	4.02341
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides sp194380|t__GCF_117939755.1	1.00689	0.24404	0.28649	0.39988	1.0211	0	0.21596	0.43856	2.05471	0.87139	1.00653	0.26566	1.15235	0.49992	1.48074	1.78677	2.73614	0.7049	6.0239	3.82909	2.35011	2.43912	5.34609	11.78632
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola sp823164|t__GCF_596743031.1	0	0.05386	0.04571	0.18774	0	0.05798	0	0	0	0.04075	0	0.05213	0	0.22586	0.07836	0.0453	0	0.10413	0	0	0	0.01008	0	0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes sp836388|t__GCF_245229538.1	0.30672	0.08129	0.74167	0.43672	0.28936	0.0655	0.22641	0.11219	0.21391	0.14857	0.28348	0.12798	3.8262	0.52133	1.19319	0.20942	0.95441	1.19754	1.14697	0	0	0	1.21704	1.13837
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides sp665740|t__GCF_632250977.1	0.50668	0	0.38913	0.41553	0.38366	0.95095	0.53567	0	0.62404	0.61361	0	0.4349	0.13942	0.43635	0.21031	0.11391	0.70338	0	0.3535	0	0.14497	0.08381	0.21151	0.37555
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp223624|t__GCF_891682273.1	6.97417	3.76611	3.0005	1.6415	2.54825	1.01562	3.00567	1.29972	2.51445	2.88517	6.04696	6.51423	9.97275	10.73624	3.57479	1.67522	4.9123	5.3544	3.35064	22.8793	2.3759	0	3.25763	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus sp758367|t__GCF_632308201.1	1.26226	0.96122	1.41162	1.10194	3.16318	1.47078	1.24721	1.80521	0.48145	0.66482	0.61369	0.9592	6.12319	0.63587	1.1982	0.40332	2.02298	3.09316	1.45884	0.6816	0.33828	0.54989	0	0.88929
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus sp178717|t__GCF_356668361.1	0.12406	0	0.19021	0.66276	0	0.20446	0	0.20766	0.41538	0.14771	0	0.42809	0.04533	0.11616	0.03249	0	0.12887	0	0	0	0	0	0.04766	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus sp420836|t__GCF_323853069.1	3.54606	1.91154	2.39447	9.25486	0.71405	1.24563	1.66596	6.1826	2.35918	10.13721	7.33427	1.8026	3.03639	3.92644	4.16558	1.52985	4.50347	3.41547	3.06062	0	2.13966	0.78436	0.94416	1.45095
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter sp785212|t__GCF_659083691.1	0.28784	0.33055	0.80529	0.13938	0.33468	0	0.07538	0.14547	0.25774	0.42874	0.53767	1.22017	0.39894	0.85668	0.54767	0.71911	0	0.30158	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dubosiella|s__Dubosiella sp302047|t__GCF_207693396.1	1.10571	0.18847	0.41747	0.06936	0.26306	0.2178	0.04832	0.11381	0	0.62748	0.38136	0.19659	0	0.0775	0.26082	0.25047	0	0.64976	0	0	0	0	0	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibaculum|s__Faecalibaculum sp602152|t__GCF_871858740.1	0.32918	0.1053	0.56331	0.14717	0.15231	0.9076	0.45944	0.38819	0.59975	0	0.58657	0.10247	0.14192	0.03699	0	0.05263	0	0.16941	0	0	0	0.04832	0.17914	0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus sp528723|t__GCF_389620766.1	0.20564	0.36562	0.56316	0.20367	0.16749	0	0.38802	0.77255	0	0.32043	0.41367	0.26523	0.20656	0.30173	0.47864	1.00609	1.85802	0.5754	12.75539	4.85472	1.87669	0.9464	8.44149	18.32819
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136|s__Lachnospiraceae_NK4A136 sp683269|t__GCF_472516001.1	0.69614	0.02735	0.1432	0.54779	0.1309	0.67804	0.2187	0.18692	0	0.2368	0.30149	0.24114	0	0.27704	0.39475	0.13371	0.41272	0.40718	0	0.03044	0	0	0.01853	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Roseburia|s__Roseburia sp358968|t__GCF_246237765.1	0.15307	0.19684	0.16954	0.43013	0.43957	0.37478	0.0962	0.10283	0.16206	0.40157	0.224	0	0.13306	0.22252	0.61304	0.23372	0.20555	0.25318	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp619531|t__GCF_732166806.1	0.04785	0.11684	0	0.74632	0.03168	0.08356	0	0.50857	0.26183	0.14088	0.17961	0	0.32809	0.14406	0.05987	1.39632	0.18553	0.86855	0	0	0	0	0.1848	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Blautia|s__Blautia sp441804|t__GCF_825084688.1	0	0.36454	0	0.2428	0	0.15085	0.12789	0.44465	0	0.27929	0	0.15232	0.3089	0.2393	0.1013	0.09805	0.12985	0	0	0.04945	0	0	0.23264	0.14424
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Acetatifactor|s__Acetatifactor sp343932|t__GCF_366096107.1	0.10906	0.07722	0.3119	0	0.04071	0.06755	0	0.21235	0.19301	0.13748	0.29125	0.1799	0.1075	0	0.37796	0.32563	0.2661	0.05449	0	0	0	0.12259	0.17719	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Kineothrix|s__Kineothrix sp777733|t__GCF_704212535.1	0.18819	0.16681	0	1.16637	0.51177	0.07563	0.91718	0.43071	0	0.34648	0.62197	0.42779	0.20809	0.89964	0.2447	0.07381	0.38447	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Schaedlerella|s__Schaedlerella sp582639|t__GCF_718869119.1	0.01943	0	0	0	0	0.06463	0.00986	0.00584	0.06877	0.07463	0	0	0	0	0.04671	0	0	0	0	0	0	0	0	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter sp452112|t__GCF_692945506.1	0.20546	0.2444	0.39261	0.58506	0.12692	0.87189	0.19929	0	0.42509	0	1.32943	0.17826	2.38059	0.43178	0.54549	0.53073	2.03335	0.90982	1.02309	0.80623	0	0.50632	0.43409	0
d__Bacteria|p__Bacillota_A|c__Clostridia|o__Oscillospirales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor sp875346|t__GCF_360765333.1	0	0	0	0	0.02333	0.03165	0	0.1007	0	0.05651	0	0	0	0.01002	0.05862	0	0	0	0	0	0	0	0	0
